codigo,produto,saldo,unidade,preco_atacado,preco_varejo,fornecedor,categoria,imagem,catalogo
456,CONECTOR 16MM 2 POLO 50A 600V,"100,000",UN,2.65,0.0,APLASTEC,ELETRICA,,SIM
457,CONECTOR 16MM 3 POLO 50A 600V,"170,000",UN,4.48,0.0,APLASTEC,ELETRICA,,SIM
338,CONECTOR CERAMICO 3 POLOS 10MM,"-12,000",UN,3.02,0.0,PHP UTILIDADES LT,ELETRICA,338_conector_ceramico_10mm_3polos.jpeg,SIM
339,CONECTOR CERAMICO 3 POLOS 16 MM,"-23,000",UN,5.7,0.0,PHP UTILIDADES LT,ELETRICA,339_CONECTOR_CERAMICO_3 POLOS_16 MM.jpg,SIM
504,CONECTOR DE MANGUEIRA 1/2,"354,000",UN,3.51,0.0,SETE MARES COMER,HIDRAULICA,504_CONECTOR_DE_MANGUEIRA_1_2.jpeg,SIM
586,CONJUNTO COM 12 PCS BUCHA 8,"100,000",UN,1.85,0.0,,SEM GRUPO,,SIM
587,CONJUNTO COM 12 PCS BUCHA 8,"100,000",UN,1.85,0.0,,SEM GRUPO,,SIM
588,CONJUNTO COM 8 PCS BUCHA 10,"100,000",UN,1.85,0.0,,SEM GRUPO,,SIM
101,CONJUNTO DE LAMINA DE ESTILETE 1,"37,000",UN,4.9,0.0,KL VITORIA - COM. D,FERRAMENTAS,101_CONJUNTO_DE_LAMINA_DE_ESTILETE_18MM_10 PCS.jpg,SIM
369,CONJUNTO DE ROLOS PARA PINTURA C,"7,000",UN,74.74,0.0,KL VITORIA - COM. D,UTILIDADES,369_CONJUNTO_DE_ROLOS_PARA-PINTURA_COM_5_ITENS.jpg,SIM
102,"CONJUNTO DE SOQUETE 9 PCS, MARCA","-3,000",UN,15.4,0.0,KL VITORIA - COM. D,FERRAMENTAS,102_CONJUNTO_DE_SOQUETE_9 PCS_ MARCA_ELITE.jpg,SIM
584,CORANTE LIQUID INDELFLEX AMAREL,"156,000",UN,4.5,0.0,VALDEMAR SANTA,UTILIDADES,584_CORANTE_LIQUID_INDELFLEX_AMARELO_50ML.jpeg,SIM
585,CORANTE LIQUID INDELFLEX AZUL 5,"156,000",UN,4.5,0.0,VALDEMAR SANTA,UTILIDADES,585_CORANTE_LIQUID_INDELFLEX_AZUL_50ML.jpeg,SIM
582,CORANTE LIQUID INDELFLEX PRETO 5,"120,000",UN,4.5,0.0,VALDEMAR SANTA,UTILIDADES,582_CORANTE_LIQUID_INDELFLEX_PRETO_50ML.jpeg,SIM
