linha
SENNA FIX
LISTAGEM DE PRODUTOS 22/06/2026 11:32:38
página: 1 de 10
Geral
Código Descricao Local. Saldo Un Atacado Varejo Fornecedor
"271 ESPATULA CABO DE MADEIRA 3 , MAR 174,000 UN 6,420000 0,000000 KL VITORIA - COM. D"
"103 ESPATULA CABO DE MADEIRA ELITE 2 193,000 UN 6,100000 0,000000 KL VITORIA - COM. D"
"104 ESPATULA CABO DE MADEIRA ELITE 4 191,000 UN 6,740000 0,000000 KL VITORIA - COM. D"
"105 ESPATULA CABO DE MADEIRA ELITE 5 202,000 UN 7,790000 0,000000 KL VITORIA - COM. D"
"218 ESPATULA COM CABO EMBORRACHAD 201,000 UN 6,600000 0,000000 SETE MARES COMER"
"376 ESQUADRO DE METAL, P/ CONSTRUCA 109,000 UN 11,990000 0,000000 SETE MARES COMER"
"401 ESQUINCHO MANGUEIRA 112,000 UN 9,990000 0,000000 SETE MARES COMER"
"75 ESTILETE 18MM, MARCA ELITE 79,000 UN 4,900000 0,000000 KL VITORIA - COM. D"
"76 ESTILETE PROFISSIONAL 18MM ELITE 40,000 UN 7,070000 0,000000 KL VITORIA - COM. D"
"560 ETIQUETA P/ETIQUETADORA 50 100,000 UN 13,100000 0,000000 SETE MARES COMER"
"220 EXTENSAO 2P+T 02MT PRETA SAQUIN 12,000 UN 13,710000 0,000000 APLASTEC"
"222 EXTENSAO 2P+T 05MT PRETA-SAQUINH 12,000 UN 23,330000 0,000000 APLASTEC"
"219 EXTENSAO 2P+T 1,5 MT PRETO SAQUIN 12,000 UN 12,100000 0,000000 APLASTEC"
"223 EXTENSAO 2P+T 10MT PRETA -42,000 UN 39,560000 0,000000"
"221 EXTENSAO 2P+T03M PRETA-SAQUINH 12,000 UN 15,990000 0,000000 APLASTEC"
"458 EXTENSAO ELETRICA 2M 21,000 UN 15,430000 0,000000 APLASTEC"
"459 EXTENSAO ELETRICA 3M 24,000 UN 19,030000 0,000000 APLASTEC"
"460 EXTENSAO ELETRICA DE 5M 22,000 UN 26,210000 0,000000 APLASTEC"
"385 EXTENSAO QUADRUPLA 5M 19,000 UN 26,360000 0,000000 LUSTER IND DE MAT"
"383 EXTENSAO QUADRUPULA 1,5M 39,000 UN 15,600000 0,000000 LUSTER IND DE MAT"
"384 EXTENSAO QUADRUPULA 3M 57,000 UN 17,850000 0,000000 LUSTER IND DE MAT"
"129 FECHADURA ANTI-FURTO COR PRETA 8,000 UN 61,540000 0,000000 KL VITORIA - COM. D"
"395 FERRAMENTA FITA MANUAL, DE USO D 0,000 CX 0,000000 0,000000"
"464 FILTRO DE LINHA COM FUSIVEL 3 TOMA 4,000 UN 24,190000 0,000000 APLASTEC"
"462 FILTRO DE LINHA COM FUSIVEL 4 TOMA 6,000 UN 25,330000 0,000000 APLASTEC"
"463 FILTRO DE LINHA COM FUSIVEL 5 TOMA 10,000 UN 26,230000 0,000000 APLASTEC"
"461 FILTRO DE LINHA COM FUSíVEL COM 6 10,000 UN 27,090000 0,000000 APLASTEC"
Nucleu Tecnologia. 4109 1212
SENNA FIX
LISTAGEM DE PRODUTOS 22/06/2026 11:32:38
página: 6 de 10
Geral
Código Descricao Local. Saldo Un Atacado Varejo Fornecedor
